,,,PPL,2 N. Ninth St.,Allentown,Pennsylvania,18101,,
,,,R.R. Donnelley & Sons,111 S. Wacker Dr.,Chicago,Illinois,60606,,
,,,Huntsman,500 Huntsman Way,Salt Lake City,Utah,84108,,
,,,Bed Bath & Beyond,650 Liberty Ave.,Union,New Jersey,7083,,
,,,Stanley Black & Decker,1000 Stanley Dr.,New Britain,Connecticut,6053,,
,,,L Brands,3 Limited Pkwy.,Columbus,Ohio,43230,,
,,,Liberty Interactive,12300 Liberty Blvd.,Englewood,Colorado,80112,,
,,,Farmers Insurance Exchange,4680 Wilshire Boulevard,Los Angeles,California,90010,,
,,,First Data,5565 Glenridge Connector N.E.,Atlanta,Georgia,30342,,
,,,Sherwin-Williams,101 W. Prospect Ave.,Cleveland,Ohio,44115,,
,,,BlackRock,55 E. 52nd St.,New York,New York,10055,,
,,,Voya Financial,230 Park Avenue,New York,New York,10169,,
,,,Ross Stores,5130 Hacienda Dr.,Dublin,California,94568,,
,,,Sempra Energy,101 Ash St.,San Diego,California,92101,,
,,,Estee Lauder,767 Fifth Ave.,New York,New York,10153,,
,,,H.J. Heinz,1 PPG Place,Pittsburgh,Pennsylvania,15222,,
,,,Reinsurance Group of America,1370 Timberlake Manor Pkwy.,Chesterfield,Missouri,63017,,
,,,Public Service Enterprise Group,80 Park Plaza,Newark,New Jersey,7102,,
,,,Cameron International,1333 W. Loop S.,Houston,Texas,77027,,
,,,Navistar International,2701 Navistar Dr.,Lisle,Illinois,60532,,
,,,CST Brands,1 Valero Way,San Antonio,Texas,78249,,
,,,State Street Corp.,1 Lincoln St.,Boston,Massachusetts,2111,,
,,,Unum Group,1 Fountain Sq.,Chattanooga,Tennessee,37402,,
,,,Hilton Worldwide Holdings,7930 Jones Branch Dr.,McLean,Virginia,22102,,
,,,Family Dollar Stores,10401 Monroe Rd.,Matthews,North Carolina,28105,,
,,,Principal Financial,711 High St.,Des Moines,Iowa,50392,,
,,,Reliance Steel & Aluminum,350 S. Grand Ave.,Los Angeles,California,90071,,
,,,Air Products & Chemicals,7201 Hamilton Blvd.,Allentown,Pennsylvania,18195,,
,,,Assurant,1 Chase Manhattan Plaza,New York,New York,10005,,
,,,Peter Kiewit Sons',1000 Kiewit Plaza,Omaha,Nebraska,68131,,
,,,Henry Schein,135 Duryea Rd.,Melville,New York,11747,,
,,,Cognizant Technology Solutions,500 Frank W. Burr Blvd.,Teaneck,New Jersey,7666,,
,,,MGM Resorts International,3600 Las Vegas Blvd. S.,Las Vegas,Nevada,89109,,
,,,W.W. Grainger,100 Grainger Pkwy.,Lake Forest,Illinois,60045,,
,,,Group 1 Automotive,800 Gessner Rd.,Houston,Texas,77024,,
,,,BB&T Corp.,200 W. Second St.,Winston-Salem,North Carolina,27101,,
,,,Rock-Tenn,504 Thrasher St.,Norcross,Georgia,30071,,
,,,Advance Auto Parts,5008 Airport Rd.,Roanoke,Virginia,24012,,
,,,Ally Financial,200 Renaissance Center,Detroit,Michigan,48243,,
,,,AGCO,4205 River Green Pkwy.,Duluth,Georgia,30096,,
,,,Corning,1 Riverfront Plaza,Corning,New York,14831,,
,,,Biogen,225 Binney St.,Cambridge,Massachusetts,2142,,
,,,NGL Energy Partners,6120 S. Yale Ave.,Tulsa,Oklahoma,74136,,
,,,Stryker,2825 Airview Blvd.,Kalamazoo,Michigan,49002,,
,,,Molina Healthcare,200 Oceangate,Long Beach,California,90802,,
,,,Precision Castparts,4650 S.W. Macadam Ave.,Portland,Oregon,97239,,
,,,Discover Financial Services,2500 Lake Cook Rd.,Riverwoods,Illinois,60015,,
,,,Genworth Financial,6620 W. Broad St.,Richmond,Virginia,23230,,
,,,Eastman Chemical,200 S. Wilcox Dr.,Kingsport,Tennessee,37660,,
,,,Dean Foods,2711 N. Haskell Ave.,Dallas,Texas,75204,,
,,,AutoZone,123 S. Front St.,Memphis,Tennessee,38103,,
,,,MasterCard,2000 Purchase St.,Purchase,New York,10577,,
,,,Owens & Minor,9120 Lockwood Blvd.,Mechanicsville,Virginia,23116,,
,,,Hormel Foods,1 Hormel Place,Austin,Minnesota,55912,,
,,,GameStop,625 Westport Pkwy.,Grapevine,Texas,76051,,
,,,Autoliv,1320 Pacific Dr.,Auburn Hills,Michigan,48326,,
,,,CenterPoint Energy,1111 Louisiana St.,Houston,Texas,77002,,
,,,Fidelity National Financial,601 Riverside Ave.,Jacksonville,Florida,32204,,
,,,Sonic Automotive,4401 Colwick Rd.,Charlotte,North Carolina,28211,,
,,,HD Supply Holdings,3100 Cumberland Blvd.,Atlanta,Georgia,30339,,
,,,Charter Communications,400 Atlantic St.,Stamford,Connecticut,6901,,
,,,Crown Holdings,1 Crown Way,Philadelphia,Pennsylvania,19154,,
,,,Applied Materials,3050 Bowers Ave.,Santa Clara,California,95054,,
,,,Mosaic,3033 Campus Dr.,Plymouth,Minnesota,55441,,
,,,CBRE Group,400 S. Hope St.,Los Angeles,California,90071,,
,,,Avon Products,777 Third Ave.,New York,New York,10017,,
,,,Republic Services,18500 N. Allied Way,Phoenix,Arizona,85054,,
,,,Universal Health Services,367 S. Gulph Rd.,King of Prussia,Pennsylvania,19406,,
,,,Darden Restaurants,1000 Darden Center Dr.,Orlando,Florida,32837,,
,,,Steel Dynamics,7575 W. Jefferson Blvd.,Fort Wayne,Indiana,46804,,
,,,SunTrust Banks,303 Peachtree St. N.E.,Atlanta,Georgia,30308,,
,,,Caesars Entertainment,1 Caesars Palace Dr.,Las Vegas,Nevada,89109,,
,,,Targa Resources,1000 Louisiana St.,Houston,Texas,77002,,
,,,Dollar Tree,500 Volvo Pkwy.,Chesapeake,Virginia,23320,,
,,,News Corp.,1211 Avenue of the Americas,New York,New York,10036,,
,,,Ball,10 Longs Peak Dr.,Broomfield,Colorado,80021,,
,,,Thrivent Financial for Lutheran,625 Fourth Ave. S.,Minneapolis,Minnesota,55415,,
,,,Masco,21001 Van Born Rd.,Taylor,Michigan,48180,,
,,,Franklin Resources,1 Franklin Pkwy.,San Mateo,California,94403,,
,,,Avis Budget Group,6 Sylvan Way,Parsippany,New Jersey,7054,,
,,,Reynolds American,401 N. Main St.,Winston-Salem,North Carolina,27101,,
,,,Becton Dickinson,1 Becton Dr.,Franklin Lakes,New Jersey,7417,,
,,,Priceline Group,800 Connecticut Ave.,Norwalk,Connecticut,6854,,
,,,Broadcom,5300 California Ave.,Irvine,California,92617,,
,,,Tenneco,500 N. Field Dr.,Lake Forest,Illinois,60045,,
,,,Campbell Soup,1 Campbell Place,Camden,New Jersey,8103,,
,,,AECOM,555 S. Flower St.,Los Angeles,California,90071,,
,,,Visteon,1 Village Center Dr.,Van Buren Township,Michigan,48111,,
,,,Delek US Holdings,7102 Commerce Way,Brentwood,Tennessee,37027,,
,,,Dover,3005 Highland Pkwy.,Downers Grove,Illinois,60515,,
,,,BorgWarner,3850 Hamlin Rd.,Auburn Hills,Michigan,48326,,
,,,Jarden,1800 N. Military Trail,Boca Raton,Florida,33431,,
,,,UGI,460 N. Gulph Rd.,King of Prussia,Pennsylvania,19406,,
,,,Murphy Oil,200 Peach St.,El Dorado,Arkansas,71730,,
,,,PVH,200 Madison Ave.,New York,New York,10016,,
,,,Core-Mark Holding,395 Oyster Point Blvd.,South San Francisc,California,94080,,
,,,Calpine,717 Texas Ave.,Houston,Texas,77002,,
,,,D.R. Horton,301 Commerce St.,Fort Worth,Texas,76102,,
,,,Weyerhaeuser,33663 Weyerhaeuser Way S.,Federal Way,Washington,98003,,
,,,KKR,9 W. 57th St.,New York,New York,10019,,
,,,FMC Technologies,5875 N. Sam Houston Pkwy. W.,Houston,Texas,77086,,
,,,American Family Insurance Group,6000 American Pkwy.,Madison,Wisconsin,53783,,
,,,SpartanNash,850 76th St. S.W.,Grand Rapids,Michigan,49518,,
,,,WESCO International,225 W. Station Square Dr.,Pittsburgh,Pennsylvania,15219,,
,,,Quanta Services,2800 Post Oak Blvd.,Houston,Texas,77056,,
,,,Mohawk Industries,160 S. Industrial Blvd.,Calhoun,Georgia,30701,,
,,,Motorola Solutions,1303 E. Algonquin Rd.,Schaumburg,Illinois,60196,,
,,,Lennar,700 N.W. 107th Ave.,Miami,Florida,33172,,
,,,TravelCenters of America,24601 Center Ridge Rd.,Westlake,Ohio,44145,,
,,,Sealed Air,200 Riverfront Blvd.,Elmwood Park,New Jersey,7407,,
,,,Eversource Energy,1 Federal St.,Springfield,Massachusetts,1105,,
,,,Coca-Cola Enterprises,2500 Windy Ridge Pkwy.,Atlanta,Georgia,30339,,
,,,Celgene,86 Morris Ave.,Summit,New Jersey,7901,,
,,,Williams,1 Williams Center,Tulsa,Oklahoma,74172,,
,,,Ashland,50 E. RiverCenter Blvd.,Covington,Kentucky,41011,,
,,,Interpublic Group,1114 Ave. of the Americas,New York,New York,10036,,
,,,Blackstone Group,345 Park Ave.,New York,New York,10154,,
,,,Ralph Lauren,650 Madison Ave.,New York,New York,10022,,
